ALX,ALY,ALZ,ARX,ARY,ARZ,EMG0L,EMG1L,EMG2L,EMG3L,EMG4L,EMG5L,EMG6L,EMG7L,EMG0R,EMG1R,EMG2R,EMG3R,EMG4R,EMG5R,EMG6R,EMG7R,GLX,GLY,GLZ,GRX,GRY,GRZ,ORL,OPL,OYL,ORR,OPR,OYR,LHNX,LHNY,LHNZ,RHNX,RHNY,RHNZ,HX,HY,HZ,LTX,LTY,LTZ,RTX,RTY,RTZ,SpineMidX,SpineMidY,SpineMidZ,SpineBaseX,SpineBaseY,SpineBaseZ,ShoulderLeftX,ShoulderLeftY,ShoulderLeftZ,ShoulderRightX,ShoulderRightY,ShoulderRightZ,ElbowLeftX,ElbowLeftY,ElbowLeftZ,ElbowRightX,ElbowRightY,ElbowRightZ,Myo_Pose_left,Myo_Pose_Right,Kinect_pose_left,Kinect_pose_right
1.074707,0.3061523,-0.03369141,1.003906,-0.3569336,-0.1210938,-1,6,22,6,-3,1,-1,0,-3,-1,-2,-15,-43,-8,3,-2,-14.25,-14.25,-14.25,-5.4375,-5.4375,-5.4375,7.351409,3.028809,0.8899044,2.449873,2.992173,6.853272,-0.1770594,-0.4534704,1.609717,0.2775352,-0.4345309,1.563512,0.07081143,0.4197966,1.65582,-0.222526,-0.4577083,1.6145,0.2525605,-0.4250705,1.536233,0.06419607,-0.06546932,1.673452,0.0662793,-0.3891854,1.652553,-0.1175705,0.1211372,1.666833,-0.009731821,-0.3800199,1.61951,-0.1697054,-0.1271316,1.679137,0.2865002,-0.1551208,1.65546,NA,NA,NotTracked,NotTracked,
1.087402,0.3242188,0.03076172,1.042969,-0.3320313,-0.08105469,0,-3,2,10,6,-1,-1,-4,2,-2,1,7,24,-1,2,-17,-11.375,-11.375,-11.375,-6.625,-6.625,-6.625,7.265689,3.060062,0.974198,2.461979,2.999957,6.833497,-0.1798735,-0.4499603,1.61152,0.2698625,-0.4313248,1.553532,0.07047312,0.4199381,1.65593,-0.2222771,-0.4467544,1.611364,0.2370518,-0.4066209,1.573308,0.06402574,-0.06547515,1.673297,0.06595477,-0.3892171,1.652048,-0.117598,0.1211105,1.666797,-0.01006727,-0.3800026,1.618895,-0.1702804,-0.1274641,1.679572,0.2891221,-0.1528011,1.656618,NA,NA,NotTracked,NotTracked,
1.055176,0.3608398,0.1723633,1.032227,-0.375,0.004882813,7,7,-11,4,0,0,-2,-2,-3,-1,1,-7,10,2,-8,-46,-9.9375,-9.9375,-9.9375,-25.125,-25.125,-25.125,7.074354,3.149417,1.1635,2.534105,3.028461,6.733176,-0.182262,-0.4484608,1.612203,0.2695278,-0.4151255,1.537945,0.07007016,0.419982,1.656186,-0.2242578,-0.4391224,1.610905,0.238251,-0.4015163,1.536265,0.06385284,-0.06542382,1.67317,0.06559919,-0.3890557,1.651669,-0.1176734,0.1211372,1.666812,-0.01047693,-0.3797441,1.61834,-0.1715244,-0.1271558,1.680902,0.2935512,-0.1502919,1.658953,NA,NA,NotTracked,NotTracked,
1.055176,0.3608398,0.1723633,1.041016,-0.4375,0.09667969,-1,-12,-14,4,0,-2,4,0,0,-2,-4,-16,-76,-19,-2,9,-9.9375,-9.9375,-9.9375,-29.8125,-29.8125,-29.8125,7.074354,3.149417,1.1635,2.651647,3.083569,6.57538,-0.1850702,-0.446188,1.610063,0.2415444,-0.4334673,1.517165,0.06978749,0.4200147,1.656256,-0.2274087,-0.4348124,1.610368,0.2041958,-0.4127216,1.52968,0.06363158,-0.06535515,1.67294,0.06503972,-0.3888221,1.651103,-0.1176979,0.1211289,1.666821,-0.01110321,-0.3794297,1.617624,-0.1745326,-0.1273233,1.682925,0.2974786,-0.1473049,1.661472,NA,NA,NotTracked,NotTracked,
0.9150391,0.7539063,0.3803711,1.066406,-0.4785156,0.1337891,-5,-1,-32,5,2,-5,-5,-4,4,-3,-2,-18,9,-3,0,7,2.75,2.75,2.75,-34.4375,-34.4375,-34.4375,6.831634,3.440265,1.475384,2.784664,3.165848,6.39412,-0.1879163,-0.439774,1.60256,0.2393613,-0.3816817,1.506081,0.06954495,0.4200883,1.656282,-0.2311538,-0.4285315,1.60555,0.2080754,-0.3695343,1.533491,0.06333783,-0.06527986,1.672675,0.06430515,-0.3886252,1.650379,-0.1177311,0.1211378,1.66683,-0.0118394,-0.3790308,1.616745,-0.1777018,-0.1262235,1.685345,0.2996755,-0.145243,1.662004,NA,NA,NotTracked,Unknown,
0.7724609,0.6899414,0.4995117,0.9770508,-0.5654297,0.1879883,0,11,3,-3,-29,-8,5,0,2,-3,-1,-16,-25,-5,-3,2,-69,-69,-69,-34.375,-34.375,-34.375,6.673574,3.632435,1.595237,2.912131,3.282406,6.208493,-0.1894399,-0.4323819,1.59454,0.2256118,-0.3506888,1.490405,0.06943247,0.4202247,1.656397,-0.228963,-0.43499,1.58675,0.1862926,-0.3675252,1.50565,0.06312531,-0.06524767,1.672484,0.06386763,-0.3886003,1.649938,-0.1177791,0.1211776,1.666883,-0.01232153,-0.378797,1.61624,-0.1813131,-0.1254902,1.688038,0.3040203,-0.137485,1.665697,NA,NA,NotTracked,Unknown,
0.6650391,0.5864258,0.5073242,0.9243164,-0.6381836,0.2597656,3,-1,1,6,74,13,2,0,-5,0,13,13,40,-2,-2,1,-64,-64,-64,-33.625,-33.625,-33.625,6.601748,3.736592,1.643446,2.967266,3.353857,6.125359,-0.1892969,-0.4189246,1.579803,0.1817404,-0.3306112,1.500658,0.06937488,0.4202455,1.656423,-0.2195271,-0.4231859,1.55989,0.1312391,-0.2864213,1.514109,0.06279258,-0.06512833,1.672228,0.06317084,-0.3883607,1.649422,-0.1178377,0.1211926,1.666933,-0.0130169,-0.3784036,1.615695,-0.1872052,-0.1244695,1.691419,0.3075804,-0.1311166,1.666403,NA,NA,NotTracked,Unknown,
0.5493164,0.5463867,0.5327148,0.8476563,-0.6694336,0.3510742,3,-16,-12,-9,-20,-4,-2,0,-1,-5,-23,-27,52,23,2,1,-30,-30,-30,-15.3125,-15.3125,-15.3125,6.5581,3.846369,1.681229,3.063738,3.510417,5.98027,-0.1859477,-0.3971359,1.563802,0.1832254,-0.2900589,1.476649,0.06934221,0.4203044,1.656497,-0.2270205,-0.3987505,1.56212,0.1622401,-0.3407739,1.512325,0.06255043,-0.0651102,1.672038,0.06261127,-0.3883011,1.649053,-0.1178886,0.1212253,1.666981,-0.01345823,-0.3783175,1.615468,-0.1928279,-0.1207435,1.694785,0.3069281,-0.1140211,1.665404,NA,NA,NotTracked,Unknown,
0.3120117,0.6655273,0.5268555,0.7773438,-0.7055664,0.3623047,2,-6,14,-9,-32,-7,-2,0,1,-1,-9,3,64,10,8,5,-26,-26,-26,-8.375,-8.375,-8.375,6.470963,4.185149,1.770309,3.115814,3.596024,5.908967,-0.1773602,-0.3687883,1.545986,0.1710164,-0.2259859,1.470808,0.06934182,0.4203429,1.6565,-0.1994358,-0.3829618,1.516296,0.1438487,-0.2690547,1.514088,0.06231374,-0.06499421,1.67192,0.06218178,-0.3880362,1.648851,-0.1179379,0.1213021,1.667062,-0.01381478,-0.3780946,1.615277,-0.1980952,-0.1147631,1.696948,0.3077031,-0.1042818,1.665089,NA,NA,NotTracked,Unknown,
0.3120117,0.6655273,0.5268555,0.6938477,-0.6206055,0.4038086,-11,-6,5,6,25,-1,-1,-2,2,3,11,-1,40,-5,1,1,-26,-26,-26,-0.4375,-0.4375,-0.4375,6.470963,4.185149,1.770309,3.213494,3.78465,5.776706,-0.1483296,-0.3444282,1.538226,0.172897,-0.1877012,1.424485,0.06935106,0.4203669,1.656532,-0.1966528,-0.3509706,1.509687,0.137287,-0.219143,1.481556,0.06228399,-0.06493597,1.671883,0.06218737,-0.3879316,1.648814,-0.1180141,0.1214796,1.667204,-0.01379233,-0.3780376,1.61529,-0.2020976,-0.1088506,1.69742,0.310039,-0.09796739,1.661715,NA,NA,NotTracked,Unknown,
